word,count,happiness,kind
england,4,6.28,review
various,33,5.78,review
anymore,31,4.56,review
seems,132,5.22,review
dollar,32,7.02,review
shipping,10,5.46,review
costs,36,3.8,review
lots,138,6.28,review
older,32,4.74,review
wood,27,6.06,review
stained,5,3.92,review
glass,80,5.76,review
jewelry,15,6.9,review
readily,1,6.1,review
office,98,5.12,review
group,144,5.92,review
addicted,7,3.52,review
medieval,4,5.2,review
host,39,6.06,review
boom,7,5.12,review
eats,13,6.44,review
start,150,6.1,review
cute,116,7.52,review
compared,41,4.98,review
wagon,2,5.83,review
guy,133,5.92,review
takes,65,5.04,review
pm,165,5.52,review
pancakes,62,6.96,review
empty,84,3.56,review
um,9,4.66,review
please,113,6.36,review
santa,52,6.8,review
barbara,50,5.22,review
mexican,94,5.4,review
los,10,4.7,review
exception,14,5.48,review
homemade,58,7.34,review
soft,94,6.48,review
field,25,5.88,review
chips,141,6.5,review
incredible,75,7.42,review
veterans,3,5.64,review
outstanding,64,7.92,review
requested,56,5.48,review
cents,4,5.66,review
bags,25,5.58,review
ounce,5,5.34,review
total,55,5.78,review
although,126,4.58,review
tasting,63,6.54,review
certainly,66,6.06,review
returning,63,5.58,review
arrive,26,6.32,review
fire,45,3.8,review
pre,29,5.14,review
inn,21,6.02,review
comfortable,108,7.32,review
won,202,8.1,review
plan,58,6.14,review
spend,60,5.04,review
relaxing,34,7.52,review
treatment,34,4.42,review
learning,10,6.92,review
leaders,1,5.88,review
guiding,2,6.36,review
students,11,6.28,review
applications,1,5.88,review
stephen,3,5.54,review
jones,3,5.5,review
joint,39,5.18,review
complete,50,6.74,review
comfort,27,7.5,review
despite,56,4.48,review
market,81,6.28,review
offering,31,6.32,review
ended,131,3.84,review
tacos,157,6.56,review
pair,31,5.82,review
demi,2,4.82,review
terrific,24,6.96,review
played,17,6.38,review
shape,25,5.48,review
superintendent,1,4.8,review
sand,11,5.86,review
updates,10,6.14,review
summer,45,6.4,review
complain,28,3.16,review
colorado,7,5.84,review
park,89,7.08,review
per,70,5.0,review
round,26,5.54,review
far,196,4.38,review
originally,21,5.98,review
daily,42,5.4,review
safe,33,7.04,review
italy,7,6.18,review
italian,100,6.48,review
friday,97,6.88,review
philly,129,5.46,review
walked,184,6.0,review
reservations,55,5.94,review
beer,307,5.92,review
products,42,5.76,review
plus,142,6.76,review
gross,22,3.72,review
bought,90,6.3,review
occasions,22,6.18,review
god,25,7.28,review
awful,65,2.92,review
handling,7,5.28,review
curry,58,5.84,review
cannot,66,3.32,review
forget,44,3.22,review
stole,4,2.6,review
fries,259,6.52,review
surprised,81,6.72,review
complaints,40,3.04,review
orange,45,6.54,review
l,12,5.28,review
upon,86,5.34,review
art,38,6.6,review
typical,60,5.22,review
french,138,5.96,review
quarter,43,5.56,review
co,29,4.94,review
workers,56,5.78,review
garden,41,7.22,review
district,21,5.14,review
shops,38,6.64,review
types,38,5.32,review
taco,86,6.2,review
combo,46,5.64,review
needed,202,5.46,review
natural,19,6.56,review
fashion,15,6.36,review
ate,127,6.18,review
must,160,4.82,review
movie,34,6.84,review
sitting,106,5.68,review
talked,23,5.9,review
connected,10,6.34,review
kitchen,112,6.04,review
wrapping,1,5.66,review
excuse,34,4.58,review
dark,62,3.82,review
almost,201,4.7,review
burnt,42,3.34,review
wondered,7,6.42,review
win,21,8.12,review
crowded,80,3.71,review
crazy,46,4.64,review
w,40,4.86,review
entrance,23,5.66,review
exit,8,4.78,review
required,12,4.46,review
entering,19,5.78,review
staring,9,4.86,review
ours,6,5.98,review
touch,57,6.4,review
clerk,6,5.41,review
immediate,13,5.6,review
clearly,72,6.18,review
replied,18,6.04,review
medium,67,5.32,review
voice,14,5.76,review
says,69,5.28,review
name,164,5.74,review
passed,21,5.66,review
indicates,1,5.32,review
indicating,2,5.59,review
melt,17,4.9,review
placed,38,5.3,review
literally,101,5.32,review
az,5,5.08,review
employees,128,5.64,review
efficient,53,6.8,review
cards,33,6.02,review
